algorithm,pqc_adoption_pct,txs_per_block,effective_tps,ecdsa_inclusion_rate,pqc_inclusion_rate,fee_premium_pct,block_weight_utilization,critical_50pct_tps_threshold,fee_2x_threshold
SPHINCS+-128s,70.0,345,0.575,0.0257,0.0241,6.09,0.9998,5.0,
SPHINCS+-128s,75.0,309,0.515,0.0195,0.0228,3.25,0.9999,5.0,
SPHINCS+-128s,80.0,309,0.515,0.0246,0.0213,0.44,0.9999,5.0,
SPHINCS+-128s,85.0,291,0.485,0.0241,0.0201,1.93,1.0,5.0,
SPHINCS+-128s,90.0,272,0.453,0.0209,0.0192,-4.38,0.9998,5.0,
SPHINCS+-128s,95.0,272,0.453,0.0464,0.0181,19.52,0.9998,5.0,
SPHINCS+-128s,100.0,243,0.405,0.0,0.0173,0.0,0.9975,5.0,
SPHINCS+-256s,0.0,4683,7.805,0.3333,0.0,-100.0,0.9998,5.0,
SPHINCS+-256s,5.0,1130,1.883,0.0808,0.0741,11.25,0.9999,5.0,
SPHINCS+-256s,10.0,573,0.955,0.0405,0.0434,4.13,1.0,5.0,
SPHINCS+-256s,15.0,364,0.607,0.0253,0.0294,5.39,1.0,5.0,
SPHINCS+-256s,20.0,364,0.607,0.0267,0.0225,3.9,1.0,5.0,
SPHINCS+-256s,25.0,224,0.373,0.0152,0.018,0.92,0.9999,5.0,
SPHINCS+-256s,30.0,294,0.49,0.0234,0.0151,0.25,0.9999,5.0,
SPHINCS+-256s,35.0,224,0.373,0.0176,0.0129,13.79,0.9999,5.0,
SPHINCS+-256s,40.0,224,0.373,0.0188,0.0115,7.56,0.9999,5.0,
SPHINCS+-256s,45.0,155,0.258,0.0116,0.0104,-3.04,1.0,5.0,
SPHINCS+-256s,50.0,155,0.258,0.0128,0.0093,20.75,1.0,5.0,
SPHINCS+-256s,55.0,155,0.258,0.0144,0.0083,8.32,1.0,5.0,
SPHINCS+-256s,60.0,155,0.258,0.0162,0.0076,23.42,1.0,5.0,
SPHINCS+-256s,65.0,155,0.258,0.0184,0.0071,33.65,1.0,5.0,
SPHINCS+-256s,70.0,155,0.258,0.0216,0.0066,46.26,1.0,5.0,
SPHINCS+-256s,75.0,85,0.142,0.0054,0.0063,10.23,0.9999,5.0,
SPHINCS+-256s,80.0,85,0.142,0.0068,0.0059,-3.94,0.9999,5.0,
SPHINCS+-256s,85.0,85,0.142,0.0092,0.0055,1.18,0.9999,5.0,
SPHINCS+-256s,90.0,85,0.142,0.0132,0.0052,16.13,0.9999,5.0,
SPHINCS+-256s,95.0,85,0.142,0.0294,0.0049,59.98,0.9999,5.0,
SPHINCS+-256s,100.0,66,0.11,0.0,0.0047,0.0,0.9959,5.0,
