chain,pqc_fraction,seed,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,algo_counts_Ed25519,algo_distribution_Ed25519,block_time_ms,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,total_tx_generated,verification_failures,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65
solana,0.1,3,25,1265142.56,1659.4,110.84587042919136,194.18465264432754,222.18469625247678,0.0,4148.5,14.3957,74.4996,0.0,37411,0.9017958298180065,400,0,0,41485,0,0,41485,0,2464,1610,0.05939496203447029,0.0388092081475232
solana,0.1,4,25,1272031.32,1650.92,117.17246060667861,192.2123309983286,212.48637838709337,0.0,4127.3,13.6046,77.7647,0.0,37163,0.9004191602258135,400,0,0,41273,0,0,41273,0,2425,1685,0.05875511835824873,0.04082572141593778
solana,0.1,5,25,1278279.64,1662.32,135.16028798439163,214.75355332042835,232.97943477799228,0.0,4155.8,14.4438,76.3858,0.0,37433,0.9007411328745368,400,0,0,41558,0,0,41558,0,2438,1687,0.058664998315607106,0.040593868809856104
solana,0.1,6,25,1287897.12,1668.56,113.52771771461384,199.13466385322243,223.05562165937278,0.0,4171.4,14.064,74.5307,0.0,37523,0.8995301337680395,400,0,0,41714,0,0,41714,0,2539,1652,0.06086685525243324,0.03960301097952726
solana,0.1,7,25,1298449.64,1677.72,136.98774451892743,228.58356298845246,259.17701489535983,0.04,4194.3,14.6409,75.0613,0.0,37721,0.899339579906063,400,0,0,41943,0,0,41943,0,2523,1699,0.06015306487375724,0.040507355220179765
solana,0.1,8,25,1258366.52,1667.24,135.4390807644274,215.1482370740344,241.3963461577428,0.0,4168.1,13.7708,76.3482,0.0,37655,0.9034092272258343,400,0,0,41681,0,0,41681,0,2457,1569,0.05894772198363763,0.03764305079052806
solana,0.1,9,25,1298317.72,1671.76,103.18326805061109,194.33549402273493,215.23807166379163,0.0,4179.4,12.207,75.2232,0.0,37552,0.8985021773460306,400,0,0,41794,0,0,41794,0,2559,1683,0.06122888452887974,0.04026893812508973
solana,0.1,10,25,1284157.44,1667.84,113.18471797180982,206.1680057989188,225.75442187573353,0.0,4169.599999999999,12.8136,75.1503,0.0,37529,0.9000623561013047,400,0,0,41696,0,0,41696,0,2515,1652,0.06031753645433615,0.03962010744435917
solana,0.15,1,25,1622496.44,1668.52,122.35633301293733,212.11849686838295,239.00127976975,0.0,4171.3,14.2541,82.5452,0.0,35543,0.8520844820559538,400,0,0,41713,0,0,41713,0,3753,2417,0.08997195119027641,0.057943566753769805
solana,0.15,2,25,1622558.0,1663.16,137.11035661214729,229.88929192400624,255.9899902994985,0.0,4157.900000000001,17.8035,83.5811,0.0,35424,0.8519685418119723,400,0,0,41579,0,0,41579,0,3671,2484,0.08828976165852954,0.05974169652949807
solana,0.15,3,25,1606958.36,1659.4,117.68319665593332,212.21041570923168,247.21457575056385,0.0,4148.5,15.9333,83.7544,0.0,35385,0.8529589008075208,400,0,0,41485,0,0,41485,0,3719,2381,0.08964686031095577,0.057394238881523445
solana,0.15,4,25,1631062.8,1650.92,127.03019392695627,218.84716777408926,234.0677390168069,0.04,4127.3,15.1008,85.6755,0.0,35059,0.8494415235141618,400,0,0,41273,0,0,41273,0,3662,2552,0.08872628594965232,0.06183219053618588
solana,0.15,5,25,1643773.12,1662.32,128.11722535012387,216.09288049547433,234.43313811894433,0.0,4155.8,16.06,84.9312,0.0,35277,0.8488618316569614,400,0,0,41558,0,0,41558,0,3745,2536,0.0901150199720872,0.06102314837095144
solana,0.15,6,25,1641163.16,1668.56,139.32476371648826,235.2376828667798,265.18808480462906,0.04,4171.4,15.5498,83.7059,0.0,35425,0.8492352687347173,400,0,0,41714,0,0,41714,0,3850,2439,0.09229515270652539,0.05846957855875725
solana,0.15,7,25,1663160.0,1677.72,147.15191919149427,243.5705600446347,272.5866687471241,0.04,4194.3,16.2928,82.2135,0.0,35583,0.8483656390816108,400,0,0,41943,0,0,41943,0,3782,2578,0.090169992609017,0.06146436830937224
solana,0.15,8,25,1630605.48,1667.24,139.01560106854805,232.32743575908682,264.49667801187434,0.04,4168.1,15.3482,84.6162,0.0,35485,0.8513471365850147,400,0,0,41681,0,0,41681,0,3701,2495,0.0887934550514623,0.05985940836352295
solana,0.15,9,25,1648005.96,1671.76,112.33113020692207,203.48040551748835,231.5407271319085,0.0,4179.4,13.4848,83.3775,0.0,35495,0.8492845863042542,400,0,0,41794,0,0,41794,0,3790,2509,0.09068287313968512,0.06003254055606068
solana,0.15,10,25,1633002.88,1667.84,113.95616156270061,207.47390966983806,239.55726513827733,0.0,4169.599999999999,14.1921,83.7028,0.0,35482,0.8509689178818112,400,0,0,41696,0,0,41696,0,3726,2488,0.08936108979278588,0.05966999232540292
solana,0.2,1,25,1984215.2,1668.52,147.86912965533259,246.07481700759428,274.1763009412658,0.04,4171.3,15.6212,90.6741,0.0,33418,0.8011411310622588,400,0,0,41713,0,0,41713,0,5017,3278,0.12027425502840841,0.07858461390933281
