chain,pqc_fraction,seed,nic_contention_enabled,use_chain_routing,num_blocks,avg_block_size_bytes,avg_txs_per_block,avg_propagation_p50_ms,avg_propagation_p90_ms,avg_propagation_p95_ms,stale_rate,effective_tps,avg_verification_time_ms,max_verification_time_ms,verification_failure_rate,block_time_ms,fee_market_enabled,base_fee_mean,base_fee_final,economic_failure_count,economic_failure_rate,avg_fee_paid,median_fee_paid,vote_tx_fraction_config,vote_tx_count_per_block,vote_overhead_fraction,effective_user_tps,break_even_stale_rate,profit_margin,exit_probability,estimated_validator_exits,remaining_validators_fraction,algo_counts_Ed25519,algo_distribution_Ed25519,base_fee_max,base_fee_min,cost_per_slot_usd,mempool_final_size_bytes,mempool_final_tx_count,mempool_total_accepted,mempool_total_evicted,mempool_total_rejected,reward_per_slot_usd,total_fee_checks,total_tx_generated,verification_failures,vote_overhead_bytes_per_block,vote_overhead_bytes_total,vote_tx_count_total,algo_counts_ML-DSA-44,algo_counts_ML-DSA-65,algo_counts_SLH-DSA-128f,algo_distribution_ML-DSA-44,algo_distribution_ML-DSA-65,algo_distribution_SLH-DSA-128f
solana,0.25,1,True,True,30,2724116.7,1145.3666666666666,634.2174432601769,724.2926536142544,747.5589705556424,0.5333333333333333,2863.4166666666665,50.7543,318.5048,0.0,400,True,0.5,0.5,15745,0.31717733325275477,0.0,0.0,0.3,15.5,0.007,2824.67,0.834753,0.30142,0.002404,0,1.0,24530,0.7138907482320073,0.5,0.5,0.00826235,0,0,34361,0,0,0.05,49641,49641,0,19096.0,572880,465,2953,4925,1953,0.0859404557492506,0.14333110212159134,0.05683769389715084
solana,0.25,2,True,True,30,2755415.6333333333,1134.6333333333334,830.0670612915874,932.0447830731068,960.0458712435266,0.6666666666666666,2836.5833333333335,65.7441,313.6974,0.0,400,True,0.5,0.5,15867,0.3209279747577921,0.0,0.0,0.3,15.5,0.0069,2797.83,0.834753,0.168086,0.033513,2,0.96,24234,0.7119480595787185,0.5,0.5,0.00826235,0,0,34039,0,0,0.05,49441,49441,0,19096.0,572880,465,2884,4877,2044,0.0847263433120832,0.14327682951908105,0.06004876759011722
solana,0.25,3,True,True,30,2683666.966666667,1135.3666666666666,604.169014198921,704.6671252942822,726.4338030809067,0.5,2838.4166666666665,56.1696,275.82,0.0,400,True,0.5,0.5,15864,0.3207440355843105,0.0,0.0,0.3,15.5,0.0071,2799.67,0.834753,0.334753,0.001235,0,1.0,24375,0.7156278441619447,0.5,0.5,0.00826235,0,0,34061,0,0,0.05,49460,49460,0,19096.0,572880,465,2933,4833,1920,0.0861102140277737,0.1418924870086022,0.05636945480167934
solana,0.25,4,True,True,30,2655224.3,1130.8333333333333,520.5813166293309,628.0904773336603,656.6397549027253,0.5333333333333333,2827.083333333333,52.2518,335.9295,0.0,400,True,0.5,0.5,15870,0.3217109264139469,0.0,0.0,0.3,15.5,0.0072,2788.33,0.834753,0.30142,0.002404,0,1.0,24345,0.7176123802505527,0.5,0.5,0.00826235,0,0,33925,0,0,0.05,49330,49330,0,19096.0,572880,465,2823,4873,1884,0.08321296978629329,0.14364038319823139,0.055534266764922624
solana,0.25,5,True,True,30,2740607.3333333335,1133.3666666666666,583.6465500556786,691.7680175893007,720.9121737753852,0.6,2833.4166666666665,57.8507,309.6106,0.0,400,True,0.5,0.5,15945,0.32224490208362805,0.0,0.0,0.3,15.5,0.007,2794.67,0.834753,0.234753,0.009058,0,1.0,24176,0.7110379106496868,0.5,0.5,0.00826235,0,0,34001,0,0,0.05,49481,49481,0,19096.0,572880,465,2900,4924,2001,0.08529160907032146,0.14481927002146996,0.05885121025852181
solana,0.3,1,True,True,30,3228901.1666666665,1158.9666666666667,463.9586220524822,561.0684236400018,583.6933191979289,0.6,2897.416666666667,60.7295,354.4382,0.0,400,True,0.5,0.5,15337,0.3089583207429343,0.0,0.0,0.3,15.5,0.0059,2858.67,0.834753,0.234753,0.009058,0,1.0,22914,0.6590353475797406,0.5,0.5,0.00826235,0,0,34769,0,0,0.05,49641,49641,0,19096.0,572880,465,3515,5931,2409,0.10109580373321062,0.17058299059507032,0.06928585809197849
solana,0.3,2,True,True,30,3252362.966666667,1146.6666666666667,753.8944509588023,865.6855054466665,894.3843932393404,0.5666666666666667,2866.666666666667,77.1487,332.7237,0.0,400,True,0.5,0.5,15506,0.3136263425092535,0.0,0.0,0.3,15.5,0.0059,2827.92,0.834753,0.268086,0.004671,0,1.0,22486,0.6536627906976744,0.5,0.5,0.00826235,0,0,34400,0,0,0.05,49441,49441,0,19096.0,572880,465,3535,5923,2456,0.10276162790697674,0.17218023255813952,0.0713953488372093
solana,0.3,3,True,True,30,3171080.2333333334,1145.9333333333334,548.4790341042109,638.2257902148175,661.9939153687534,0.5,2864.8333333333335,67.1381,303.437,0.0,400,True,0.5,0.5,15547,0.3143348160129397,0.0,0.0,0.3,15.5,0.006,2826.08,0.834753,0.334753,0.001235,0,1.0,22700,0.660306009657339,0.5,0.5,0.00826235,0,0,34378,0,0,0.05,49460,49460,0,19096.0,572880,465,3521,5805,2352,0.10242015242306127,0.16885799057536796,0.06841584734423177
solana,0.3,4,True,True,30,3147583.466666667,1143.2333333333333,989.6048572105889,1077.6572794248832,1101.8664623061327,0.6,2858.0833333333335,62.6011,368.5615,0.0,400,True,0.5,0.5,15498,0.31416987634299615,0.0,0.0,0.3,15.5,0.0061,2819.33,0.834753,0.234753,0.009058,0,1.0,22654,0.6605242441029827,0.5,0.5,0.00826235,0,0,34297,0,0,0.05,49330,49330,0,19096.0,572880,465,3574,5752,2317,0.1042073650756626,0.16771146164387557,0.06755692917747907
solana,0.3,5,True,True,30,3173268.6,1143.7666666666667,722.5207380995785,834.2518787146047,861.6141292844245,0.5666666666666667,2859.4166666666665,66.8706,351.2366,0.0,400,True,0.5,0.5,15633,0.31593945150663894,0.0,0.0,0.3,15.5,0.006,2820.67,0.834753,0.268086,0.004671,0,1.0,22640,0.65980823594556,0.5,0.5,0.00826235,0,0,34313,0,0,0.05,49481,49481,0,19096.0,572880,465,3493,5822,2358,0.10179815230379156,0.16967330166409234,0.06872031008655612
solana,0.35,1,True,True,30,3678127.1333333333,1171.4666666666667,629.9604004681405,736.7439825407379,757.805359825617,0.8666666666666667,2928.666666666667,69.3533,360.4795,0.0,400,True,0.5,0.5,14962,0.301404081303761,0.0,0.0,0.3,15.5,0.0052,2889.92,0.834753,-0.031914,0.654363,35,0.3,21397,0.6088379239699522,0.5,0.5,0.00826235,0,0,35144,0,0,0.05,49641,49641,0,19096.0,572880,465,4101,6860,2786,0.11669132711131346,0.1951969041657182,0.07927384475301616
solana,0.35,2,True,True,30,3708421.5,1159.1,966.0278532839388,1074.1663388739314,1103.2025244572903,0.6333333333333333,2897.75,88.2757,345.6747,0.0,400,True,0.5,0.5,15133,0.3060819967233672,0.0,0.0,0.3,15.5,0.0051,2859.0,0.834753,0.20142,0.017491,1,0.98,21011,0.6042331694130504,0.5,0.5,0.00826235,0,0,34773,0,0,0.05,49441,49441,0,19096.0,572880,465,4024,6881,2857,0.11572196819371351,0.19788341529347483,0.08216144709976131
solana,0.35,3,True,True,30,3659341.2666666666,1162.4333333333334,967.7209842674221,1065.9667810518654,1093.8398059018323,0.9,2906.0833333333335,77.5989,337.8016,0.0,400,True,0.5,0.5,15052,0.304326728669632,0.0,0.0,0.3,15.5,0.0052,2867.33,0.834753,-0.065247,0.786665,40,0.2,21198,0.607862816505606,0.5,0.5,0.00826235,0,0,34873,0,0,0.05,49460,49460,0,19096.0,572880,465,4103,6794,2778,0.11765549278811688,0.19482120838471023,0.07966048232156683
solana,0.35,4,True,True,30,3623302.3666666667,1154.8666666666666,667.9906465015226,765.1334809856579,794.6997329523922,0.7666666666666667,2887.1666666666665,72.922,360.2776,0.0,400,True,0.5,0.5,15149,0.3070950739914859,0.0,0.0,0.3,15.5,0.0053,2848.42,0.834753,0.068086,0.20396,13,0.74,21134,0.609998268198349,0.5,0.5,0.00826235,0,0,34646,0,0,0.05,49330,49330,0,19096.0,572880,465,4053,6701,2758,0.11698320152398545,0.19341338105408995,0.07960514922357559
